Ensembl_ID	MN_1	OSFSCC_1	MN_2	OSFSCC_2
ENSG00000223972.6_6	0	0	0	0
ENSG00000227232.5_5	63	65	50	0
ENSG00000243485.5_11	0	0	0	0
ENSG00000237613.2_6	0	0	0	0
ENSG00000268020.3_5	0	0	0	0
ENSG00000290826.1_1	0	0	0	0
ENSG00000240361.3_7	0	0	0	0
ENSG00000186092.7_8	0	0	0	0
ENSG00000238009.6_14	0	3	7	6
ENSG00000239945.1_12	0	0	0	0
ENSG00000233750.3_7	0	0	8	1
ENSG00000237683.5	15	20	2	0
ENSG00000268903.1_9	0	0	0	0
ENSG00000269981.1_9	0	0	0	0
ENSG00000239906.1_10	5	0	0	0
ENSG00000241860.7_11	6	9	1	1
ENSG00000222623.1	0	0	0	0
ENSG00000241599.1_10	1	0	1	8
ENSG00000228463.4	0	3	0	0
ENSG00000286448.1_3	0	0	0	0
ENSG00000250575.1	0	0	0	0
ENSG00000233653.3	0	0	0	0
ENSG00000224813.2	0	0	0	0
ENSG00000235249.1	0	0	0	0
ENSG00000269732.1	0	0	0	0
ENSG00000256186.1	0	0	0	0
ENSG00000236601.1	0	0	0	0
ENSG00000236743.1	4	0	0	0
ENSG00000236679.2	0	0	0	1
ENSG00000230021.10_10	3	3	10	7
ENSG00000235146.2_8	0	0	0	0
ENSG00000225972.1_5	988	798	539	847
ENSG00000225630.1_5	452	419	329	487
ENSG00000237973.1_7	6066	3133	4701	1555
ENSG00000229344.1_5	739	542	505	431
ENSG00000240409.1_5	99	56	54	155
ENSG00000248527.1_7	801	654	595	1636
ENSG00000198744.5_7	6626	2911	3017	8322
ENSG00000268663.1_7	0	0	0	0
ENSG00000284662.2_7	0	0	0	0
ENSG00000229376.3_7	0	0	0	0
ENSG00000291215.1_1	42	73	39	13
ENSG00000235373.1	2	8	1	1
ENSG00000223181.1	0	0	0	0
ENSG00000229905.1_8	0	2	2	0
ENSG00000228327.6_15	0	0	0	0
ENSG00000237491.10_14	24	27	13	15
ENSG00000285268.1_5	0	0	0	0
ENSG00000290784.1_1	10	3	5	0
ENSG00000230092.8_11	0	0	0	0
ENSG00000177757.2_6	6	8	5	5
ENSG00000225880.6_9	13	7	12	41
ENSG00000228794.12_12	393	717	522	321
ENSG00000288531.1_5	0	0	6	0
ENSG00000230368.2_6	0	0	0	0
ENSG00000234711.1_5	0	0	0	0
ENSG00000283040.1_10	0	0	0	0
ENSG00000272438.1_9	0	3	0	0
ENSG00000230699.2_9	11	0	1	0
ENSG00000241180.1_11	0	0	0	4
ENSG00000223764.2_10	25	6	3	0
ENSG00000187634.13_14	49	18	19	0
ENSG00000188976.11_7	2539	4062	1918	1196
ENSG00000187961.15_9	284	270	103	27
ENSG00000187583.11_11	1204	141	322	187
ENSG00000187642.10_10	61	0	444	0
ENSG00000272512.1_8	8	4	13	0
ENSG00000188290.11_11	303	298	206	97
ENSG00000187608.10_10	222	4897	1014	2845
ENSG00000231702.2_9	0	0	2	0
ENSG00000224969.1_10	0	10	2	0
ENSG00000188157.15_8	3898	31043	1557	868
ENSG00000242590.1_9	0	0	0	0
ENSG00000291156.1_1	87	104	48	31
ENSG00000273443.1_10	0	2	0	0
ENSG00000217801.13_12	83	11	24	0
ENSG00000237330.3_7	643	54	182	20
ENSG00000131591.18_13	289	290	139	5
ENSG00000285812.1_4	1	8	4	16
ENSG00000223823.1_6	0	0	3	0
ENSG00000207730.1	4	0	1	0
ENSG00000207607.1	4	0	0	0
ENSG00000198976.1	9	1	4	0
ENSG00000272141.1_8	64	6	43	0
ENSG00000205231.1_9	0	0	0	0
ENSG00000162571.14_9	9	2	6	14
ENSG00000186891.14_11	151	67	56	0
ENSG00000186827.12_8	17	185	25	1
ENSG00000078808.20_12	4817	9450	5563	2157
ENSG00000176022.7_10	480	902	493	426
ENSG00000184163.3_7	51	13	9	0
ENSG00000260179.1_8	0	0	4	0
ENSG00000160087.21_10	1587	2051	1837	1071
ENSG00000230415.1_8	17	6	2	1
