Ensemble_ID	NOM_1	NOM_2	OSF_1	OSF_2	OSCC_1	OSCC_2
ENSG00000223972	0	0	0	12	11	3
ENSG00000227232	371	296	279	531	239	154
ENSG00000243485	0	0	0	0	2	0
ENSG00000237613	0	0	0	2	6	0
ENSG00000268020	0	0	0	0	2	0
ENSG00000240361	0	0	0	0	6	2
ENSG00000186092	0	0	0	0	4	0
ENSG00000238009	0	5	7	4	19	5
ENSG00000239945	0	0	0	0	0	0
ENSG00000233750	14	4	1	24	17	5
ENSG00000237683	162	103	27	129	95	59
ENSG00000268903	0	0	0	1	1	1
ENSG00000269981	0	0	0	0	0	0
ENSG00000239906	2	12	0	4	0	0
ENSG00000241860	8	72	8	30	100	21
ENSG00000222623	0	0	0	2	0	1
ENSG00000241599	20	8	6	20	32	14
ENSG00000228463	12	17	47	6	44	10
ENSG00000241670	0	0	0	0	0	0
ENSG00000237094	2	0	0	2	2	0
ENSG00000250575	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0
ENSG00000224813	0	0	0	0	0	0
ENSG00000235249	0	0	0	0	0	0
ENSG00000269732	0	0	0	0	0	2
ENSG00000256186	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0
ENSG00000236743	0	0	0	0	0	0
ENSG00000236679	0	0	0	0	0	0
ENSG00000231709	6	2	6	0	29	7
ENSG00000235146	0	0	0	0	2	0
ENSG00000239664	0	0	0	0	2	0
ENSG00000230021	0	2	2	2	9	10
ENSG00000223659	0	2	0	0	4	4
ENSG00000225972	0	18	29	0	7	7
ENSG00000225630	4	270	6	0	0	1
ENSG00000237973	27	76	79	25	15	17
ENSG00000229344	0	0	1	0	0	0
ENSG00000240409	0	0	0	0	0	0
ENSG00000248527	10	16	33	14	4	3
ENSG00000198744	59	93	177	16	12	10
ENSG00000268663	0	0	0	0	0	0
ENSG00000185097	0	0	0	0	0	0
ENSG00000229376	9	6	0	6	10	4
ENSG00000224956	16	26	14	47	5	12
ENSG00000235373	34	13	10	19	34	9
ENSG00000223181	0	0	2	0	1	0
ENSG00000240618	15	35	0	20	14	1
ENSG00000229905	3	0	0	2	4	4
ENSG00000228327	64	28	71	111	41	26
ENSG00000237491	80	87	116	207	169	68
ENSG00000230092	11	30	38	32	30	14
ENSG00000269831	0	0	7	2	0	2
ENSG00000240453	0	0	0	0	0	0
ENSG00000177757	11	30	28	31	45	18
ENSG00000225880	32	30	17	64	38	4
ENSG00000228794	203	520	615	232	345	175
ENSG00000230368	0	4	7	3	27	9
ENSG00000234711	0	0	0	2	15	4
ENSG00000269308	0	0	0	0	5	3
ENSG00000272438	0	0	0	1	5	0
ENSG00000230699	6	0	2	16	28	10
ENSG00000241180	0	0	0	0	1	0
ENSG00000223764	142	36	71	20	42	11
ENSG00000187634	44	14	38	87	53	28
ENSG00000268179	0	0	0	1	4	3
ENSG00000188976	2824	3011	2978	6137	5038	2498
ENSG00000187961	519	178	308	1200	412	109
ENSG00000187583	1817	763	852	455	415	323
ENSG00000187642	475	1162	3670	154	131	106
ENSG00000272512	111	24	94	163	39	10
ENSG00000188290	537	296	608	1306	578	187
ENSG00000231702	2	0	0	7	6	2
ENSG00000224969	2	3	0	6	3	2
ENSG00000187608	189	258	357	23014	4252	993
ENSG00000188157	3347	2280	3022	88792	7322	5520
ENSG00000242590	0	0	0	0	0	0
ENSG00000217801	274	296	161	377	205	63
ENSG00000273443	13	11	4	87	4	4
ENSG00000237330	990	662	430	164	505	383
ENSG00000131591	390	243	256	806	263	174
ENSG00000223823	0	2	2	7	26	7
ENSG00000207730	26	9	14	13	3	2
ENSG00000207607	25	8	18	6	9	0
ENSG00000198976	23	6	6	6	5	6
ENSG00000272141	229	35	70	76	38	10
ENSG00000205231	14	10	3	10	35	8
ENSG00000162571	11	18	2	28	76	29
ENSG00000186891	52	122	236	161	1039	34
ENSG00000186827	18	16	18	146	75	25
ENSG00000078808	2806	2960	3318	11697	3494	1506
ENSG00000176022	512	622	726	1179	1445	361
ENSG00000184163	10	22	17	118	73	20
ENSG00000260179	6	3	8	15	22	18
ENSG00000160087	1260	1527	1562	2620	1575	870
ENSG00000230415	23	11	20	53	9	0
ENSG00000162572	78	129	94	295	913	3044
ENSG00000131584	4266	3384	3214	6242	2179	1423
ENSG00000169972	509	253	364	625	411	130
ENSG00000127054	2220	2513	2436	5156	2880	1217
ENSG00000240731	77	62	76	162	73	23
ENSG00000224051	1628	1649	1776	3684	1779	943
ENSG00000169962	232	160	162	320	87	30
ENSG00000107404	3749	6340	7509	13672	5135	2200
ENSG00000162576	1853	2158	2196	775	505	262
ENSG00000175756	2106	3282	4054	5371	4285	1314
ENSG00000223663	2	0	0	1	7	2
ENSG00000221978	3986	4921	3555	10652	2960	1835
ENSG00000224870	440	223	417	754	460	155
ENSG00000242485	1067	778	1063	1015	1082	380
ENSG00000264293	0	0	0	0	0	0
ENSG00000272455	48	30	36	83	40	18
ENSG00000235098	331	192	360	753	98	43
ENSG00000225905	11	8	6	15	11	3
ENSG00000205116	4	0	4	26	11	11
ENSG00000225285	31	9	32	30	14	24
ENSG00000179403	1252	648	2053	4827	2205	608
ENSG00000215915	30	10	17	342	58	63
ENSG00000160072	933	708	817	2263	1024	667
ENSG00000197785	851	912	863	1692	965	887
ENSG00000205090	10	18	24	22	26	12
ENSG00000160075	2692	2718	2848	1928	2702	1264
ENSG00000215791	0	0	0	0	0	0
ENSG00000215014	24	50	26	14	45	3
ENSG00000236684	0	2	2	0	4	0
ENSG00000228594	415	256	226	292	308	40
ENSG00000272106	218	553	376	65	201	83
ENSG00000197530	1958	2264	3331	4321	2293	1117
ENSG00000189409	10	31	17	20	6	8
ENSG00000248333	561	632	645	1050	615	267
ENSG00000272004	0	2	0	3	3	0
ENSG00000189339	1240	801	949	2334	584	367
ENSG00000269737	46	8	26	38	32	16
ENSG00000269227	25	4	9	17	12	4
ENSG00000215914	1	0	4	12	2	4
ENSG00000008128	29	54	32	60	30	12
ENSG00000268575	75	88	66	183	68	26
ENSG00000227775	87	49	79	149	68	23
ENSG00000215790	115	164	93	178	108	31
ENSG00000008130	1689	1737	1808	2003	2281	879
ENSG00000078369	6889	7272	6354	17444	15626	7762
ENSG00000231050	12	10	53	23	41	6
ENSG00000169885	18	54	126	12	41	9
